,hedge,naive,hedge_w_fp,naive_w_fp
2021-01-07,982,575,994,587
2021-01-14,1447,1037,1683,1273
2021-01-21,2567,2081,2864,2377
2021-01-28,3382,3034,3734,3436
2021-02-04,4104,4010,4548,4684
2021-02-11,4462,4442,5162,5398
2021-02-18,4769,4792,5682,5998
2021-02-25,5140,5329,6071,6741
2021-03-04,5541,5793,6690,7501
2021-03-11,5847,6289,6989,8265
2021-03-18,6231,6803,7516,9115
2021-03-25,6593,7274,8007,9950
2021-04-01,7176,8312,8614,11556
2021-04-08,7401,8831,8834,12417
2021-04-15,7627,9349,9039,13303
2021-04-22,8102,10378,9540,15054
2021-04-29,8510,11418,9981,16816
2021-05-06,8705,11873,10161,17663
2021-05-13,8868,12349,10319,18525
2021-05-20,9069,12867,10520,19439
2021-05-27,9742,13983,11397,21357
2021-06-03,10629,15098,12780,23278
2021-06-10,11024,16177,13192,25295
2021-06-17,11378,17314,13584,27498
2021-06-24,11821,17895,14246,28535
2021-07-01,12162,18429,14624,29497
2021-07-08,12489,19041,15015,30645
2021-07-15,12613,19562,15145,31634
2021-07-22,12768,20161,15315,32771
2021-07-29,13146,20675,15826,33705
2021-08-05,13475,21227,16177,34705
2021-08-12,13813,22302,16530,36724
2021-08-19,14382,23490,17252,38892
2021-08-26,14668,24023,17587,39843
2021-09-02,14770,24537,17697,40853
2021-09-09,15087,25142,18006,41932
2021-09-16,15234,25701,18157,42995
2021-09-23,15609,26921,18556,45369
2021-09-30,15759,27497,18710,46507
2021-10-07,15882,28003,18845,47439
2021-10-14,16178,28557,19178,48477
2021-10-21,16739,29738,19857,50726
2021-10-28,17085,30383,20234,51849
2021-11-04,17259,30972,20418,52952
2021-11-11,17762,32232,21049,55400
2021-11-18,18411,33608,21850,57954
2021-11-25,18530,34137,21976,58971
2021-12-02,18793,34790,22261,60186
2021-12-09,18911,35292,22393,61164
2021-12-16,19210,36499,22721,63651
2021-12-23,19461,37667,23017,66035
2021-12-30,19798,38939,23397,68437
2022-01-06,20133,40199,23772,70949
2022-01-13,20366,41473,24025,73793
2022-01-20,20616,42744,24317,76396
2022-01-27,20848,43308,24567,77470
2022-02-03,21160,44613,24914,80117
2022-02-10,21435,45909,25227,82747
2022-02-17,21815,46506,25750,83876
2022-02-24,22068,47795,26053,86531
2022-03-03,22297,49037,26324,89017
2022-03-10,22578,50435,26624,91897
2022-03-17,22831,51738,26909,94490
2022-03-24,23074,53055,27180,97129
2022-03-31,23181,53688,27295,98420
2022-04-07,23286,54309,27423,99677
2022-04-14,23625,54893,27881,100771
2022-04-21,23900,55523,28208,101939
2022-04-28,24190,56855,28562,104637
2022-05-05,24485,58243,28907,107529
2022-05-12,25019,59556,29586,110112
2022-05-19,25456,60814,30112,112614
2022-05-26,25569,61416,30242,113852
2022-06-02,25960,62984,30713,117276
2022-06-09,26357,63664,31260,118592
2022-06-16,26475,64303,31398,119899
2022-06-23,26602,64966,31545,121256
2022-06-30,26863,66325,31837,123897
2022-07-07,26969,66973,31960,125269
2022-07-14,27090,67640,32090,126632
2022-07-21,27592,68909,32652,129101
2022-07-28,27687,69554,32764,130434
2022-08-04,27954,70157,33056,131545
2022-08-11,28167,71551,33317,134457
2022-08-18,28605,72819,33787,136973
2022-08-25,28812,73424,34018,138158
2022-09-01,29053,74038,34271,139374
2022-09-08,29183,74744,34409,140842
2022-09-15,29299,75357,34539,142033
2022-09-22,29529,76574,34803,144490
2022-09-29,29644,77195,34917,145725
2022-10-06,29886,77819,35191,146915
2022-10-13,30150,79161,35499,149685
2022-10-20,30412,79795,35775,150837
2022-10-27,30538,80507,35919,152291
2022-11-03,30782,81823,36204,155043
2022-11-10,31071,82520,36508,156316
2022-11-17,31295,83790,36770,159024
2022-11-24,31612,84382,37142,160064
2022-12-01,31773,85115,37331,161553
2022-12-08,32010,85713,37598,162603
2022-12-15,32251,86955,37865,165313
2022-12-22,32335,87506,37949,166434
2022-12-29,32513,88139,38146,167679
2023-01-05,32729,88825,38387,169011
2023-01-12,32984,90095,38693,171689
2023-01-19,33165,91327,38914,174307
2023-01-26,33356,91925,39088,175489
2023-02-02,33461,92506,39203,176668
2023-02-09,33803,93099,39622,177779
2023-02-16,34020,93679,39848,178887
2023-02-23,34389,94345,40333,180095
2023-03-02,34854,95690,40892,182792
2023-03-09,34962,96326,41017,184064
2023-03-16,35425,97652,41573,186658
2023-03-23,35541,98280,41702,187930
2023-03-30,35668,98904,41854,189176
2023-04-06,35967,100307,42190,192149
2023-04-13,36432,101607,42705,194741
2023-04-20,36728,102933,43044,197435
2023-04-27,36972,104248,43323,200206
2023-05-04,37241,104890,43623,201440
2023-05-11,37730,106210,44199,203966
2023-05-18,38189,107617,44762,206733
2023-05-25,38462,109024,45071,209738
2023-06-01,38702,109750,45333,211118
